Time,Oxygen Level,Pulse Rate,Motion
22:09:01 02/07/2026,98,51,0
22:09:02 02/07/2026,98,52,0
22:09:03 02/07/2026,98,52,0
22:09:04 02/07/2026,98,53,0
22:09:05 02/07/2026,98,52,0
22:09:06 02/07/2026,98,52,0
22:09:07 02/07/2026,98,52,0
22:09:08 02/07/2026,98,52,0
22:09:09 02/07/2026,98,51,0
22:09:10 02/07/2026,98,51,0
22:09:11 02/07/2026,98,51,0
22:09:12 02/07/2026,98,50,0
22:09:13 02/07/2026,98,50,0
22:09:14 02/07/2026,98,51,0
22:09:15 02/07/2026,98,51,0
22:09:16 02/07/2026,98,51,0
22:09:17 02/07/2026,98,50,0
22:09:18 02/07/2026,98,50,0
22:09:19 02/07/2026,98,50,0
22:09:20 02/07/2026,98,50,0
22:09:21 02/07/2026,98,50,0
22:09:22 02/07/2026,98,50,0
22:09:23 02/07/2026,98,49,0
22:09:24 02/07/2026,98,50,0
22:09:25 02/07/2026,98,50,0
22:09:26 02/07/2026,98,50,0
22:09:27 02/07/2026,98,50,0
22:09:28 02/07/2026,98,50,0
22:09:29 02/07/2026,98,50,0
22:09:30 02/07/2026,98,50,0
22:09:31 02/07/2026,98,50,0
22:09:32 02/07/2026,98,50,0
22:09:33 02/07/2026,98,50,0
22:09:34 02/07/2026,98,50,0
22:09:35 02/07/2026,98,50,0
22:09:36 02/07/2026,98,50,0
22:09:37 02/07/2026,98,50,0
22:09:38 02/07/2026,98,50,0
22:09:39 02/07/2026,98,51,0
22:09:40 02/07/2026,98,51,0
22:09:41 02/07/2026,98,50,0
22:09:42 02/07/2026,98,50,0
22:09:43 02/07/2026,98,50,0
22:09:44 02/07/2026,98,50,0
22:09:45 02/07/2026,98,50,0
22:09:46 02/07/2026,98,49,0
22:09:47 02/07/2026,98,49,0
22:09:48 02/07/2026,98,49,0
22:09:49 02/07/2026,98,48,0
22:09:50 02/07/2026,98,48,0
22:09:51 02/07/2026,98,48,0
22:09:52 02/07/2026,98,48,0
22:09:53 02/07/2026,98,48,0
22:09:54 02/07/2026,98,49,0
22:09:55 02/07/2026,98,50,0
22:09:56 02/07/2026,98,50,0
22:09:57 02/07/2026,98,50,0
22:09:58 02/07/2026,98,50,0
22:09:59 02/07/2026,98,51,0
22:10:00 02/07/2026,98,51,0
22:10:01 02/07/2026,98,50,0
22:10:02 02/07/2026,98,49,0
22:10:03 02/07/2026,98,49,0
22:10:04 02/07/2026,98,50,0
22:10:05 02/07/2026,98,50,0
22:10:06 02/07/2026,98,50,0
22:10:07 02/07/2026,98,50,0
22:10:08 02/07/2026,98,50,0
22:10:09 02/07/2026,98,51,0
22:10:10 02/07/2026,98,51,0
22:10:11 02/07/2026,98,51,0
22:10:12 02/07/2026,98,51,0
22:10:13 02/07/2026,98,51,0
22:10:14 02/07/2026,98,51,0
22:10:15 02/07/2026,98,51,0
22:10:16 02/07/2026,98,51,0
22:10:17 02/07/2026,98,51,0
22:10:18 02/07/2026,98,51,0
22:10:19 02/07/2026,98,51,0
22:10:20 02/07/2026,97,51,0
22:10:21 02/07/2026,97,51,0
22:10:22 02/07/2026,97,52,0
22:10:23 02/07/2026,97,52,0
22:10:24 02/07/2026,97,52,0
22:10:25 02/07/2026,97,53,0
22:10:26 02/07/2026,97,53,0
22:10:27 02/07/2026,97,53,0
22:10:28 02/07/2026,98,54,0
22:10:29 02/07/2026,98,54,0
22:10:30 02/07/2026,98,53,0
22:10:31 02/07/2026,98,53,0
22:10:32 02/07/2026,98,53,0
22:10:33 02/07/2026,98,54,0
22:10:34 02/07/2026,98,54,0
22:10:35 02/07/2026,98,53,0
22:10:36 02/07/2026,98,53,0
22:10:37 02/07/2026,98,53,0
22:10:38 02/07/2026,98,53,0
22:10:39 02/07/2026,98,53,0
22:10:40 02/07/2026,98,52,0
22:10:41 02/07/2026,98,52,0
22:10:42 02/07/2026,98,52,0
22:10:43 02/07/2026,98,52,0
22:10:44 02/07/2026,98,53,4
22:10:45 02/07/2026,98,53,0
22:10:46 02/07/2026,98,52,0
22:10:47 02/07/2026,98,52,0
22:10:48 02/07/2026,98,52,0
22:10:49 02/07/2026,98,52,0
22:10:50 02/07/2026,98,52,0
22:10:51 02/07/2026,98,52,2
22:10:52 02/07/2026,98,52,0
22:10:53 02/07/2026,98,52,0
22:10:54 02/07/2026,98,52,0
22:10:55 02/07/2026,98,52,0
22:10:56 02/07/2026,98,52,0
22:10:57 02/07/2026,98,52,0
22:10:58 02/07/2026,98,52,0
22:10:59 02/07/2026,98,52,0
22:11:00 02/07/2026,98,52,0
22:11:01 02/07/2026,98,52,0
22:11:02 02/07/2026,98,53,0
22:11:03 02/07/2026,98,53,0
22:11:04 02/07/2026,98,53,0
22:11:05 02/07/2026,98,53,0
22:11:06 02/07/2026,98,53,0
22:11:07 02/07/2026,98,53,0
22:11:08 02/07/2026,98,53,0
22:11:09 02/07/2026,98,53,0
22:11:10 02/07/2026,98,53,0
22:11:11 02/07/2026,98,52,0
22:11:12 02/07/2026,98,53,0
22:11:13 02/07/2026,98,53,0
22:11:14 02/07/2026,98,52,0
22:11:15 02/07/2026,98,52,0
22:11:16 02/07/2026,98,51,0
22:11:17 02/07/2026,98,51,0
22:11:18 02/07/2026,98,51,0
